codigo_dane,departamento,municipio,tipo_ruralidad,escolaridad_total,esc_basica_primaria,esc_basica_secundaria,esc_doctorado,esc_especializacion,esc_maestria,esc_media_academica_clasica,esc_media_tecnica,esc_ninguno,esc_no_informa,esc_normalista,esc_preescolar,esc_profesional,esc_resumen,esc_tecnologica,esc_tecnica_profesional,estrato_predominante,n_manzanas_estrato_pred,n_manzanas_total,prop_manzanas_bajas_1_2,anio_poblacion_departamental,poblacion_departamental,educ_info_disp,esc_superior,prop_basica_primaria,prop_basica_secundaria,prop_doctorado,prop_especializacion,prop_maestria,prop_media_academica_clasica,prop_media_tecnica,prop_ninguno,prop_no_informa,prop_normalista,prop_preescolar,prop_profesional,prop_resumen,prop_tecnologica,prop_tecnica_profesional,prop_superior
5045,ANTIOQUIA,Apartadó,Ciudades y aglomeraciones,122139.0,34548.0,20303.0,136.0,1028.0,176.0,16363.0,8124.0,14016.0,11452.0,76.0,6436.0,5022.0,0.0,1975.0,2484.0,1.0,476.0,1010.0,0.7712871287128713,2050.0,7440163.0,1,10821.0,0.2828580551666544,0.16622864113837513,0.0011134854550962428,0.008416640057639247,0.001440981177183373,0.1339703125127928,0.06651438115589615,0.11475450101933043,0.09376202523354539,0.0006222418719655474,0.05269406168381926,0.0411170879080392,0.0,0.016170101278052056,0.020337484341610788,0.0885957802176209
5079,ANTIOQUIA,Barbosa,Ciudades y aglomeraciones,40011.0,18200.0,6387.0,6.0,130.0,35.0,5589.0,1551.0,3900.0,86.0,56.0,1436.0,1078.0,0.0,732.0,825.0,2.0,137.0,175.0,0.9314285714285714,2050.0,7440163.0,1,2806.0,0.45487490939991504,0.15963110144710205,0.00014995876134063133,0.0032491064957136787,0.0008747594411536827,0.1396865861887981,0.0387643398065532,0.09747319487141036,0.002149408912549049,0.0013996151058458925,0.035890130214191095,0.02694259078753343,0.0,0.01829496888355702,0.020619329684336808,0.07013071405363525
5088,ANTIOQUIA,Bello,Ciudades y aglomeraciones,348830.0,109004.0,74548.0,160.0,1699.0,253.0,64824.0,19460.0,17396.0,8138.0,176.0,14863.0,17538.0,0.0,11426.0,9345.0,2.0,865.0,2311.0,0.6689744699264387,2050.0,7440163.0,1,40421.0,0.3124845913482212,0.21370868331278847,0.0004586761459736835,0.004870567325058051,0.000725281655820887,0.18583264054123785,0.05578648625404925,0.04986956397098873,0.023329415474586473,0.0005045437605710518,0.04260814723504286,0.050276639050540375,0.0,0.03275521027434567,0.026789553650775448,0.11587592810251413
5129,ANTIOQUIA,Caldas,Ciudades y aglomeraciones,64980.0,25097.0,13645.0,39.0,151.0,106.0,11232.0,1944.0,4133.0,169.0,92.0,2447.0,2391.0,0.0,1666.0,1868.0,2.0,272.0,381.0,0.7506561679790026,2050.0,7440163.0,1,6221.0,0.38622653124038164,0.20998768851954447,0.0006001846722068329,0.0023237919359803015,0.0016312711603570329,0.17285318559556787,0.029916897506925208,0.06360418590335488,0.002600800246229609,0.0014158202523853493,0.03765774084333641,0.03679593721144968,0.0,0.025638658048630348,0.028747306863650353,0.09573714989227454
5154,ANTIOQUIA,Caucasia,Ciudades y aglomeraciones,78691.0,30136.0,16852.0,35.0,229.0,63.0,9080.0,1915.0,12889.0,1713.0,122.0,3389.0,1210.0,0.0,460.0,598.0,1.0,565.0,1029.0,0.8629737609329446,2050.0,7440163.0,1,2595.0,0.38296628585225756,0.214154096402384,0.0004447776747023167,0.0029101167859094433,0.00080059981446417,0.11538803675134386,0.024335692772998182,0.16379255569251883,0.02176869019328767,0.0015503678946766465,0.043067186844747175,0.015376599611137232,0.0,0.0058456494389447335,0.007599344270628153,0.03297708759578605
5212,ANTIOQUIA,Copacabana,Ciudades y aglomeraciones,58399.0,18111.0,12423.0,81.0,525.0,159.0,10832.0,2530.0,2761.0,1020.0,245.0,2761.0,3884.0,0.0,1797.0,1270.0,2.0,248.0,379.0,0.6860158311345647,2050.0,7440163.0,1,7716.0,0.31012517337625645,0.21272624531241974,0.0013870100515419785,0.008989879963698008,0.0027226493604342542,0.18548262812719396,0.04332265963458278,0.047278206818609905,0.017466052500898988,0.004195277316392404,0.047278206818609905,0.06650798815048203,0.0,0.03077107484717204,0.021746947721707564,0.13212555009503588
5266,ANTIOQUIA,Envigado,Ciudades y aglomeraciones,168718.0,38103.0,33107.0,121.0,4646.0,943.0,25539.0,8417.0,3719.0,3634.0,585.0,7068.0,29149.0,0.0,8315.0,5372.0,3.0,385.0,782.0,0.2531969309462916,2050.0,7440163.0,1,48546.0,0.22583838120413946,0.1962268400526322,0.0007171730342939106,0.027537073696938086,0.0055892080275963445,0.1513709266349767,0.049887978757453266,0.022042698467264903,0.021538899228298106,0.0034673241740656004,0.04189238848255669,0.17276757666639006,0.0,0.04928341967069311,0.03184011190270155,0.28773456299861305
5308,ANTIOQUIA,Girardota,Ciudades y aglomeraciones,40678.0,14670.0,8773.0,8.0,158.0,19.0,5503.0,2254.0,2741.0,902.0,52.0,1891.0,1492.0,0.0,1151.0,1064.0,2.0,147.0,172.0,0.8604651162790697,2050.0,7440163.0,1,3892.0,0.36063719946900047,0.21566940360883033,0.00019666650277791434,0.0038841634298638085,0.00046708294409754657,0.13528197059835784,0.05541078715767737,0.06738286051428291,0.022174148188209845,0.0012783322680564432,0.04648704459412951,0.036678302768081025,0.0,0.028295393087172428,0.02615664486946261,0.09567825360145533
5360,ANTIOQUIA,Itagüí,Ciudades y aglomeraciones,224511.0,69317.0,50301.0,159.0,1029.0,102.0,39949.0,11301.0,11083.0,760.0,920.0,9416.0,15185.0,0.0,7140.0,7849.0,3.0,585.0,1176.0,0.4821428571428571,2050.0,7440163.0,1,31464.0,0.3087465647562926,0.22404692865828402,0.0007082058340125873,0.004583294359741839,0.0004543207237061881,0.17793782932684812,0.05033606371180031,0.04936506451799689,0.003385134804085323,0.004097794762840128,0.041940038572720266,0.0676358842105732,0.0,0.03180245065943317,0.034960425101665395,0.14014458088913237
5380,ANTIOQUIA,La Estrella,Ciudades y aglomeraciones,49562.0,17309.0,10862.0,44.0,300.0,60.0,7792.0,3109.0,2733.0,72.0,69.0,2192.0,2380.0,0.0,1447.0,1193.0,2.0,236.0,364.0,0.6840659340659341,2050.0,7440163.0,1,5424.0,0.3492393365885154,0.21915984020015333,0.0008877769258706266,0.006053024494572455,0.001210604898914491,0.1572172228723619,0.06272951051208588,0.055143053145555065,0.0014527258786973891,0.0013921956337516646,0.0442274323070094,0.048020660990274806,0.0,0.029195754812154473,0.02407086074008313,0.10943868286186999
